"2017-11-16 17:42:06"	"192.168.1.138"	"101.227.162.149"	"58987"	"80"	"POST"	"http://101.227.162.149/mmtls/000016f5"	"MicroMessenger Client"
"2017-11-16 17:42:16"	"192.168.1.138"	"101.227.162.149"	"58998"	"80"	"POST"	"http://101.227.162.149/mmtls/00001716"	"MicroMessenger Client"
"2017-11-16 17:42:20"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:42:20"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:42:22"	"192.168.1.138"	"101.226.79.185"	"58999"	"80"	"POST"	"http://qbwup.imtt.qq.com/"	"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1) QQBrowser/6.0"
"2017-11-16 17:42:22"	"192.168.1.138"	"111.230.214.171"	"59000"	"80"	"POST"	"http://dr.cs3.duba.net/v/"	"Mozilla/4.0"
"2017-11-16 17:42:24"	"192.168.1.138"	"111.230.214.171"	"59001"	"80"	"POST"	"http://dr.cs3.duba.net/v/"	"Mozilla/4.0"
"2017-11-16 17:43:06"	"192.168.1.138"	"58.215.145.139"	"59010"	"80"	"GET"	"http://miserupdate.aliyun.com/data/2.4.1.6/brfversion.xml"	"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1;Miser Report)"
"2017-11-16 17:43:06"	"192.168.1.138"	"58.215.145.139"	"59011"	"80"	"GET"	"http://miserupdate.aliyun.com/data/2.4.1.6/version.xml"	"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1;Miser Report)"
"2017-11-16 17:43:45"	"192.168.1.138"	"180.163.26.34"	"59015"	"80"	"POST"	"http://conna.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:46:52"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:46:52"	"192.168.1.138"	"180.163.21.35"	"58248"	"80"	"POST"	"http://connpm.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:47:16"	"192.168.1.138"	"180.163.26.34"	"59041"	"80"	"POST"	"http://conna.gj.qq.com/q.cgi"	"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)"
"2017-11-16 17:47:19"	"192.168.1.138"	"58.222.42.59"	"59050"	"80"	"GET"	"http://shared.ydstatic.com/js/rlog/v1.js"	"Mozilla/5.0 (Windows NT 6.1.7601; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1621.0 Safari/537.36 IE/9.0.8112.16421 youdaodict/6.3 (windowspc)"
